Date,Timestamp,,Timestamp,Phase 1,Phase 2,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances
07/07/2020,14:02:25,07/07/2020 14:02:25,1594130545.00,6.90,0.56,7.46,240,1789.66,-8.09,Air conditioner-York
07/07/2020,14:02:27,07/07/2020 14:02:27,1594130547.00,6.88,0.55,7.42,240,1781.56,-2.06,Air conditioner-York
07/07/2020,14:02:28,07/07/2020 14:02:28,1594130548.00,6.87,0.54,7.41,240,1779.50,7.51,Air conditioner-York
07/07/2020,14:02:29,07/07/2020 14:02:29,1594130549.00,6.89,0.55,7.45,240,1787.01,3.35,Air conditioner-York
07/07/2020,14:02:31,07/07/2020 14:02:31,1594130551.00,6.91,0.55,7.46,240,1790.36,11.97,Air conditioner-York
07/07/2020,14:02:32,07/07/2020 14:02:32,1594130552.00,6.96,0.55,7.51,240,1802.32,-1.08,Air conditioner-York
07/07/2020,14:02:33,07/07/2020 14:02:33,1594130553.00,6.96,0.55,7.51,240,1801.25,14.81,Air conditioner-York
07/07/2020,14:02:34,07/07/2020 14:02:34,1594130554.00,7.00,0.56,7.57,240,1816.06,-4.34,Air conditioner-York
07/07/2020,14:02:36,07/07/2020 14:02:36,1594130556.00,6.99,0.55,7.55,240,1811.72,2.67,Air conditioner-York
07/07/2020,14:02:37,07/07/2020 14:02:37,1594130557.00,7.00,0.56,7.56,240,1814.39,-11.62,Air conditioner-York
07/07/2020,14:02:39,07/07/2020 14:02:39,1594130559.00,6.96,0.55,7.51,240,1802.77,8.29,Air conditioner-York
07/07/2020,14:02:40,07/07/2020 14:02:40,1594130560.00,6.99,0.55,7.55,240,1811.06,-11.60,Air conditioner-York
07/07/2020,14:02:41,07/07/2020 14:02:41,1594130561.00,6.94,0.56,7.50,240,1799.45,5.51,Air conditioner-York
07/07/2020,14:02:42,07/07/2020 14:02:42,1594130562.00,6.96,0.56,7.52,240,1804.96,-8.02,Air conditioner-York
07/07/2020,14:02:44,07/07/2020 14:02:44,1594130564.00,6.94,0.55,7.49,240,1796.95,-2.69,Air conditioner-York
07/07/2020,14:02:45,07/07/2020 14:02:45,1594130565.00,6.93,0.55,7.48,240,1794.26,6.88,Air conditioner-York
07/07/2020,14:02:46,07/07/2020 14:02:46,1594130566.00,6.95,0.56,7.50,240,1801.14,-2.91,Air conditioner-York
07/07/2020,14:02:48,07/07/2020 14:02:48,1594130568.00,6.94,0.55,7.49,240,1798.22,13.70,Air conditioner-York
07/07/2020,14:02:49,07/07/2020 14:02:49,1594130569.00,7.00,0.55,7.55,240,1811.92,0.20,Air conditioner-York
07/07/2020,14:02:50,07/07/2020 14:02:50,1594130570.00,7.00,0.55,7.55,240,1812.12,-0.73,Air conditioner-York
07/07/2020,14:02:52,07/07/2020 14:02:52,1594130572.00,7.00,0.55,7.55,240,1811.39,3.56,Air conditioner-York
07/07/2020,14:02:53,07/07/2020 14:02:53,1594130573.00,7.02,0.54,7.56,240,1814.96,-7.44,Air conditioner-York
07/07/2020,14:02:54,07/07/2020 14:02:54,1594130574.00,6.98,0.55,7.53,240,1807.52,8.95,Air conditioner-York
07/07/2020,14:02:56,07/07/2020 14:02:56,1594130576.00,7.02,0.55,7.57,240,1816.47,-1.45,Air conditioner-York
07/07/2020,14:02:57,07/07/2020 14:02:57,1594130577.00,7.01,0.55,7.56,240,1815.02,1.65,Air conditioner-York
07/07/2020,14:02:58,07/07/2020 14:02:58,1594130578.00,7.02,0.55,7.57,240,1816.67,-5.97,Air conditioner-York
07/07/2020,14:03:00,07/07/2020 14:03:00,1594130580.00,7.00,0.54,7.54,240,1810.69,-1.71,Air conditioner-York
07/07/2020,14:03:01,07/07/2020 14:03:01,1594130581.00,6.98,0.56,7.54,240,1808.98,0.42,Air conditioner-York
07/07/2020,14:03:02,07/07/2020 14:03:02,1594130582.00,6.99,0.55,7.54,240,1809.40,-2.86,Air conditioner-York
