Meter,Date,Time,,Timestamp,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances ,Mode
,02/07/2020,17:10:41,07/02/2020 17:10:41,1581095441,2.44,240,585.26,-7.20,,
,02/07/2020,17:10:42,07/02/2020 17:10:42,1581095442,2.41,240,578.06,-2.94,,
,02/07/2020,17:10:43,07/02/2020 17:10:43,1581095443,2.40,240,575.12,-4.92,,
,02/07/2020,17:10:45,07/02/2020 17:10:45,1581095445,2.38,240,570.21,-0.36,,
,02/07/2020,17:10:46,07/02/2020 17:10:46,1581095446,2.37,240,569.84,-8.35,,
,02/07/2020,17:10:47,07/02/2020 17:10:47,1581095447,2.34,240,561.49,12.45,,
,02/07/2020,17:10:48,07/02/2020 17:10:48,1581095448,2.39,240,573.94,-3.78,,
,02/07/2020,17:10:49,07/02/2020 17:10:49,1581095449,2.38,240,570.16,-7.33,,
,02/07/2020,17:10:51,07/02/2020 17:10:51,1581095451,2.35,240,562.83,8.21,,
,02/07/2020,17:10:52,07/02/2020 17:10:52,1581095452,2.38,240,571.04,0.83,,
,02/07/2020,17:10:53,07/02/2020 17:10:53,1581095453,2.38,240,571.87,-7.06,,
,02/07/2020,17:10:54,07/02/2020 17:10:54,1581095454,2.35,240,564.81,5.76,,
,02/07/2020,17:10:55,07/02/2020 17:10:55,1581095455,2.38,240,570.57,2.16,,
,02/07/2020,17:10:57,07/02/2020 17:10:57,1581095457,2.39,240,572.73,-8.57,,
,02/07/2020,17:10:58,07/02/2020 17:10:58,1581095458,2.35,240,564.16,13.14,,
,02/07/2020,17:10:59,07/02/2020 17:10:59,1581095459,2.41,240,577.30,-4.01,,
,02/07/2020,17:11:00,07/02/2020 17:11:00,1581095460,2.39,240,573.29,-11.20,,
,02/07/2020,17:11:01,07/02/2020 17:11:01,1581095461,2.34,240,562.09,4.40,,
,02/07/2020,17:11:03,07/02/2020 17:11:03,1581095463,2.36,240,566.49,14.39,,
,02/07/2020,17:11:04,07/02/2020 17:11:04,1581095464,2.42,240,580.88,-17.83,,
,02/07/2020,17:11:05,07/02/2020 17:11:05,1581095465,2.35,240,563.05,9.88,,
,02/07/2020,17:11:06,07/02/2020 17:11:06,1581095466,2.39,240,572.93,-4.59,,
,02/07/2020,17:11:07,07/02/2020 17:11:07,1581095467,2.37,240,568.34,4.98,,
,02/07/2020,17:11:09,07/02/2020 17:11:09,1581095469,2.39,240,573.32,0.92,,
,02/07/2020,17:11:10,07/02/2020 17:11:10,1581095470,2.39,240,574.24,0.43,,
,02/07/2020,17:11:11,07/02/2020 17:11:11,1581095471,2.39,240,574.67,-7.16,,
,02/07/2020,17:11:12,07/02/2020 17:11:12,1581095472,2.36,240,567.51,10.00,,
,02/07/2020,17:11:13,07/02/2020 17:11:13,1581095473,2.41,240,577.52,-2.22,,
,02/07/2020,17:11:14,07/02/2020 17:11:14,1581095474,2.40,240,575.30,-7.62,,
,02/07/2020,17:11:16,07/02/2020 17:11:16,1581095476,2.37,240,567.68,5.85,,
,02/07/2020,17:11:17,07/02/2020 17:11:17,1581095477,2.39,240,573.54,1608.25,,
,02/07/2020,17:11:18,07/02/2020 17:11:18,1581095478,9.09,240,2181.79,372.63,Water Heater ON,Max Temperature
,02/07/2020,17:11:19,07/02/2020 17:11:19,1581095479,10.64,240,2554.42,31.81,,
,02/07/2020,17:11:21,07/02/2020 17:11:21,1581095481,10.78,240,2586.23,-8.12,,
,02/07/2020,17:11:22,07/02/2020 17:11:22,1581095482,10.74,240,2578.12,-43.82,,
,02/07/2020,17:11:23,07/02/2020 17:11:23,1581095483,10.56,240,2534.30,41.79,,
,02/07/2020,17:11:24,07/02/2020 17:11:24,1581095484,10.73,240,2576.09,-31.79,,
,02/07/2020,17:11:25,07/02/2020 17:11:25,1581095485,10.60,240,2544.30,14.38,,
,02/07/2020,17:11:26,07/02/2020 17:11:26,1581095486,10.66,240,2558.68,7.59,,
,02/07/2020,17:11:28,07/02/2020 17:11:28,1581095488,10.69,240,2566.27,-12.34,,
,02/07/2020,17:11:29,07/02/2020 17:11:29,1581095489,10.64,240,2553.93,15.04,,
,02/07/2020,17:11:30,07/02/2020 17:11:30,1581095490,10.70,240,2568.97,-14.48,,
,02/07/2020,17:11:31,07/02/2020 17:11:31,1581095491,10.64,240,2554.49,-8.11,,
,02/07/2020,17:11:32,07/02/2020 17:11:32,1581095492,10.61,240,2546.38,104.32,,
,02/07/2020,17:11:34,07/02/2020 17:11:34,1581095494,11.04,240,2650.71,-19.73,,
,02/07/2020,17:11:35,07/02/2020 17:11:35,1581095495,10.96,240,2630.98,-0.46,,
,02/07/2020,17:11:36,07/02/2020 17:11:36,1581095496,10.96,240,2630.51,6.16,,
,02/07/2020,17:11:37,07/02/2020 17:11:37,1581095497,10.99,240,2636.68,-17.10,,
,02/07/2020,17:11:38,07/02/2020 17:11:38,1581095498,10.91,240,2619.58,22.80,,
,02/07/2020,17:11:40,07/02/2020 17:11:40,1581095500,11.01,240,2642.37,3.61,,
,02/07/2020,17:11:41,07/02/2020 17:11:41,1581095501,11.02,240,2645.99,0.40,,
,02/07/2020,17:11:42,07/02/2020 17:11:42,1581095502,11.03,240,2646.39,-3.61,,
,02/07/2020,17:11:43,07/02/2020 17:11:43,1581095503,11.01,240,2642.77,-7.30,,
,02/07/2020,17:11:44,07/02/2020 17:11:44,1581095504,10.98,240,2635.47,22.27,,
,02/07/2020,17:11:46,07/02/2020 17:11:46,1581095506,11.07,240,2657.75,-35.06,,
